,close,date,high,low,open,quoteVolume,volume,weightedAverage
0,0.10005604,1505415900,0.10799084,0.10005604,0.10799084,2.4201153,0.24326729,0.10051888
1,0.1,1505416200,98.78,0.1,0.10005602,23.35003248,2.66598858,0.11417494
2,0.06978445,1505416500,0.124,0.06978445,0.124,51.04574892,6.31938323,0.12379842
3,0.0637,1505416800,0.125,0.0637,0.06398847,1.92076367,0.13154655,0.06848659
4,0.05887921,1505417100,0.0637,0.05887921,0.0637,0.19234903,0.01135784,0.0590481
5,0.05832745,1505417400,0.06558819,0.05832745,0.06222707,19.30417185,1.13750894,0.05892554
6,0.05627774,1505417700,0.07,0.05627774,0.05839132,23.98351348,1.43501584,0.05983342
7,0.06899999,1505418000,0.06899999,0.05116183,0.05374685,0.79634463,0.04428245,0.05560715
8,0.06449623,1505418300,0.06449623,0.04941733,0.05094131,25.95227235,1.41529144,0.05453439
9,0.05351763,1505418600,0.05675203,0.05351763,0.05675203,0.61714692,0.03388275,0.05490224
10,0.05738431,1505418900,0.05738431,0.05738431,0.05738431,0.24527229,0.01407478,0.05738431
11,0.05592015,1505419200,0.05592015,0.05592015,0.05592015,0.36950253,0.02066263,0.05592015
12,0.05592015,1505419500,0.05592407,0.05592015,0.05592407,3.29929818,0.18450874,0.05592363
13,0.05407143,1505419800,0.05649423,0.05407143,0.05649423,4.58509303,0.24827778,0.0541489
14,0.05286975,1505420100,0.08,0.05286975,0.05538,21.63376852,1.42668205,0.06594699
15,0.05286975,1505420400,0.05288728,0.05286239,0.05286239,15.16646346,0.80192,0.05287455
16,0.05675083,1505420700,0.05675083,0.05675083,0.05675083,5.12430034,0.29080829,0.05675083
17,0.05286975,1505421000,0.06608719,0.05286975,0.06608719,5.42684309,0.29742502,0.05480626
18,0.05286239,1505421300,0.05286975,0.05286239,0.05286975,22.35927623,1.18209244,0.05286809
19,0.05286239,1505421600,0.05286239,0.05286239,0.05286239,0.0,0.0,0.05286239
20,0.05622939,1505421900,0.06413828,0.055521,0.0558,111.41081749,6.76333999,0.06070631
21,0.05622939,1505422200,0.05622939,0.05622939,0.05622939,0.0,0.0,0.05622939
22,0.05352595,1505422500,0.06023366,0.05286239,0.059,300.77177325,18.10144306,0.06018331
