,BB,BS,Buy,CLAVE,COIN,SB,SS,Sell
0,382,248,4701,00011001110000110100111111100010110000010001001110110010111001010101000110001111111001001110100001011001001001000011110100100010100,BTC_BELA,138,223,5199
1,227,121,4701,00011001110000110100111111100010110000010001001110110010111001010101000110001111111001001110100001011001001001000011110100100010100,BTC_BELA,293,349,5199
2,327,194,4701,00011001110000110100111111100010110000010001001110110010111001010101000110001111111001001110100001011001001001000011110100100010100,BTC_BELA,193,276,5199
3,371,151,4701,00011001110000110100111111100010110000010001001110110010111001010101000110001111111001001110100001011001001001000011110100100010100,BTC_BELA,149,319,5199
4,334,184,4701,00011001110000110100111111100010110000010001001110110010111001010101000110001111111001001110100001011001001001000011110100100010100,BTC_BELA,186,286,5199
5,448,266,4701,00011001110000110100111111100010110000010001001110110010111001010101000110001111111001001110100001011001001001000011110100100010100,BTC_BELA,72,204,5199
6,435,263,4701,00011001110000110100111111100010110000010001001110110010111001010101000110001111111001001110100001011001001001000011110100100010100,BTC_BELA,85,207,5199
7,467,295,4701,00011001110000110100111111100010110000010001001110110010111001010101000110001111111001001110100001011001001001000011110100100010100,BTC_BELA,53,175,5199
8,384,143,4701,00011001110000110100111111100010110000010001001110110010111001010101000110001111111001001110100001011001001001000011110100100010100,BTC_BELA,136,327,5199
9,458,199,4701,00011001110000110100111111100010110000010001001110110010111001010101000110001111111001001110100001011001001001000011110100100010100,BTC_BELA,61,271,5199
