,BB,BS,Buy,CLAVE,COIN,SB,SS,Sell
0,290,139,4701,10100100101001100010111110100111111000110101010100000100011110011110100101111100010001100001100101010011100100100011111110001110000,BTC_BELA,230,332,5199
1,311,137,4701,10100100101001100010111110100111111000110101010100000100011110011110100101111100010001100001100101010011100100100011111110001110000,BTC_BELA,209,333,5199
2,342,203,4701,10100100101001100010111110100111111000110101010100000100011110011110100101111100010001100001100101010011100100100011111110001110000,BTC_BELA,178,267,5199
3,333,109,4701,10100100101001100010111110100111111000110101010100000100011110011110100101111100010001100001100101010011100100100011111110001110000,BTC_BELA,187,361,5199
4,346,162,4701,10100100101001100010111110100111111000110101010100000100011110011110100101111100010001100001100101010011100100100011111110001110000,BTC_BELA,174,308,5199
5,389,179,4701,10100100101001100010111110100111111000110101010100000100011110011110100101111100010001100001100101010011100100100011111110001110000,BTC_BELA,131,291,5199
6,420,179,4701,10100100101001100010111110100111111000110101010100000100011110011110100101111100010001100001100101010011100100100011111110001110000,BTC_BELA,100,291,5199
7,414,214,4701,10100100101001100010111110100111111000110101010100000100011110011110100101111100010001100001100101010011100100100011111110001110000,BTC_BELA,106,256,5199
8,268,72,4701,10100100101001100010111110100111111000110101010100000100011110011110100101111100010001100001100101010011100100100011111110001110000,BTC_BELA,252,398,5199
9,507,397,4701,10100100101001100010111110100111111000110101010100000100011110011110100101111100010001100001100101010011100100100011111110001110000,BTC_BELA,12,73,5199
0,232,119,4701,00110100111100001010010110110000001010000111110010011110111111111000101000001100111100001110100000101010011100001000010010010111010,BTC_BELA,288,352,5199
1,278,101,4701,00110100111100001010010110110000001010000111110010011110111111111000101000001100111100001110100000101010011100001000010010010111010,BTC_BELA,242,369,5199
2,333,179,4701,00110100111100001010010110110000001010000111110010011110111111111000101000001100111100001110100000101010011100001000010010010111010,BTC_BELA,187,291,5199
3,331,83,4701,00110100111100001010010110110000001010000111110010011110111111111000101000001100111100001110100000101010011100001000010010010111010,BTC_BELA,189,387,5199
4,375,175,4701,00110100111100001010010110110000001010000111110010011110111111111000101000001100111100001110100000101010011100001000010010010111010,BTC_BELA,145,295,5199
5,402,183,4701,00110100111100001010010110110000001010000111110010011110111111111000101000001100111100001110100000101010011100001000010010010111010,BTC_BELA,118,287,5199
6,430,184,4701,00110100111100001010010110110000001010000111110010011110111111111000101000001100111100001110100000101010011100001000010010010111010,BTC_BELA,90,286,5199
7,441,245,4701,00110100111100001010010110110000001010000111110010011110111111111000101000001100111100001110100000101010011100001000010010010111010,BTC_BELA,79,225,5199
8,439,157,4701,00110100111100001010010110110000001010000111110010011110111111111000101000001100111100001110100000101010011100001000010010010111010,BTC_BELA,81,313,5199
9,460,246,4701,00110100111100001010010110110000001010000111110010011110111111111000101000001100111100001110100000101010011100001000010010010111010,BTC_BELA,59,224,5199
