,BB,BS,Buy,CLAVE,COIN,Modelo,SB,SS,Sell,Exito
0,162,47,8697,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BTC_BLK,1,708,1074,11203,0.6207935710698141
1,322,204,8697,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BTC_BLK,1,548,917,11203,0.6223003515821195
2,377,214,8697,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BTC_BLK,1,493,907,11203,0.6449020592667002
3,321,239,8697,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BTC_BLK,1,549,881,11203,0.6040201005025125
4,253,179,8697,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BTC_BLK,1,617,941,11203,0.6
5,490,234,8697,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BTC_BLK,1,380,886,11203,0.6914572864321608
6,471,281,8697,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BTC_BLK,1,399,839,11203,0.6582914572864321
7,669,665,8697,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BTC_BLK,1,200,455,11203,0.5651080945198592
8,576,522,8697,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BTC_BLK,1,293,598,11203,0.5902463549522373
9,837,848,8697,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BTC_BLK,1,32,272,11203,0.5575666163901458
0,186,57,8697,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BTC_BLK,2,684,1064,11203,0.6278252134605726
1,316,180,8697,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BTC_BLK,2,554,941,11203,0.6313410346559518
2,349,196,8697,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BTC_BLK,2,521,925,11203,0.6398794575590155
3,303,235,8697,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BTC_BLK,2,567,885,11203,0.5969849246231156
4,220,142,8697,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BTC_BLK,2,650,978,11203,0.6020100502512563
5,393,158,8697,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BTC_BLK,2,477,962,11203,0.6809045226130653
6,391,216,8697,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BTC_BLK,2,479,904,11203,0.6507537688442211
7,615,645,8697,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BTC_BLK,2,254,475,11203,0.5480140774258422
8,556,471,8697,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BTC_BLK,2,313,649,11203,0.6058320764203117
9,841,860,8697,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BTC_BLK,2,28,260,11203,0.5535444947209653
